Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,PwPrtect,Default,CalReg,FLOAT
BNKA_C30,5,68,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C31,5,70,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C32,5,72,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C33,5,74,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C34,5,76,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C35,5,78,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C36,5,80,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C37,5,82,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C38,5,84,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C39,5,86,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C40,5,88,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C41,5,90,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C42,5,92,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C43,5,94,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C44,5,96,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C45,5,98,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C46,5,100,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C47,5,102,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C48,5,104,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C49,5,106,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C50,5,108,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C51,5,110,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C52,5,112,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C53,5,114,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C54,5,116,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C55,5,118,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C56,5,120,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C57,5,122,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C58,5,124,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C59,5,126,2,0,1,16,1,1,1,0,,0,TRUE
PAGE,6,0,2,0,1,16,1,1,0,0,,0,FALSE
BNKA_C60,6,8,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C61,6,10,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C62,6,12,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C63,6,14,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C64,6,16,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C65,6,18,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C66,6,20,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C67,6,22,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C68,6,24,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C69,6,26,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C70,6,28,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C71,6,30,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C72,6,32,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C73,6,34,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C74,6,36,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C75,6,38,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C76,6,40,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C77,6,42,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C78,6,44,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C79,6,46,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C80,6,48,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C81,6,50,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C82,6,52,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C83,6,54,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C84,6,56,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C85,6,58,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C86,6,60,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C87,6,62,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C88,6,64,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C89,6,66,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C90,6,68,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C91,6,70,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C92,6,72,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C93,6,74,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C94,6,76,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C95,6,78,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C96,6,80,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C97,6,82,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C98,6,84,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C99,6,86,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C100,6,88,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C101,6,90,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C102,6,92,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C103,6,94,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C104,6,96,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C105,6,98,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C106,6,100,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C107,6,102,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C108,6,104,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C109,6,106,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C110,6,108,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C111,6,110,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C112,6,112,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C113,6,114,2,0,1,16,1,1,1,0,,0,TRUE
